Customer_id,answered,age,Gender,children,distance,pets
183010,1,2,1,1,1,1
144610,1,2,1,1,1,1
164930,1,2,1,1,1,1
141340,1,1,1,1,1,1
13610,1,1,1,1,1,0
98790,1,2,1,1,1,1
98550,1,2,1,1,1,1
54170,1,2,1,1,1,1
8200,1,2,1,1,1,1
123480,1,2,1,1,1,1
147510,1,2,1,1,1,1
215460,1,2,0,1,1,1
222740,1,2,1,1,1,1
156280,1,2,1,1,1,1
141430,1,2,1,1,1,1
187390,1,2,1,1,1,1
20200,1,2,1,1,1,1
39920,1,2,1,1,1,1
32800,1,2,1,1,1,1
86850,1,2,1,1,1,1
212980,1,2,1,1,1,1
3880,1,2,1,1,1,1
112000,1,2,1,1,1,1
13880,1,2,1,1,1,1
123990,1,2,1,1,2,1
93790,1,2,1,1,2,0
181880,1,2,1,1,2,0
76440,1,2,1,1,2,1
2190,1,2,1,1,2,1
181920,1,2,1,1,2,1
173890,1,2,1,1,2,1
181800,1,2,1,1,2,1
48110,1,2,1,1,2,1
140600,1,2,1,1,2,1
152410,1,2,1,1,2,1
155610,1,2,1,1,2,1
5330,1,2,1,1,2,1
125260,1,2,1,1,2,0
61010,1,2,1,1,2,1
246480,1,2,1,1,2,0
96920,1,2,1,1,2,1
134220,1,2,1,1,1,0
146970,1,2,1,1,1,1
124520,1,2,1,1,1,1
79990,1,2,1,1,1,1
12830,1,2,1,1,1,1
126120,1,2,1,1,1,1
156050,1,2,1,1,1,1
216730,1,2,1,1,1,1
247870,1,2,1,1,1,1
144520,1,2,1,1,1,1
107180,1,2,1,1,1,1
13760,1,2,1,1,1,1
105490,1,2,1,1,1,0
38570,1,2,1,1,1,1
91710,1,2,1,1,1,0
2120,1,2,1,1,1,0
83500,1,2,1,1,1,0
193210,1,2,1,1,1,1
37040,1,2,1,1,1,0
47320,1,2,1,1,1,0
57780,1,2,1,1,1,1
172750,1,2,1,1,1,0
194340,1,2,1,1,1,0
141230,1,2,1,1,1,0
149340,1,2,1,1,1,0
58650,1,2,1,1,2,1
72000,1,2,1,1,2,0
14310,1,2,1,1,2,0
65020,1,2,1,1,2,0
134030,1,2,1,1,2,1
12670,1,2,1,1,2,0
47980,1,2,1,1,2,0
81950,1,2,1,1,2,0
162530,1,2,1,1,2,0
197420,1,2,1,1,2,1
13340,1,2,1,1,2,1
34500,1,2,1,1,2,1
168960,1,2,1,1,1,1
199750,1,2,1,1,1,1
215930,1,2,1,1,1,1
152330,1,2,1,1,2,1
211970,1,2,1,1,2,1
49850,1,2,1,1,2,1
13820,1,2,1,1,2,1
14100,1,2,1,1,2,1
81940,1,2,1,1,2,1
150920,1,2,1,1,2,1
14580,1,2,1,1,2,1
141240,1,2,1,1,2,1
17010,1,2,1,1,2,1
124350,1,2,1,1,2,1
108970,1,2,1,1,2,1
152420,1,2,1,1,2,1
246530,1,2,1,1,2,1
4480,1,2,1,1,2,1
71360,1,2,1,1,2,1
10030,1,2,1,1,2,1
15980,1,2,1,1,2,1
12890,1,2,1,1,2,1
143260,1,2,1,1,2,1
10360,1,2,1,1,2,1
25980,1,2,1,1,2,1
182050,1,2,1,1,2,1
234330,1,2,1,1,2,1
7730,1,2,1,1,2,1
171990,1,2,1,1,2,1
96340,1,2,1,1,2,1
103420,1,2,1,1,2,1
133080,1,2,1,1,2,1
190310,1,2,1,1,2,1
190570,1,2,1,1,2,1
216650,1,2,1,1,2,1
157770,1,2,1,1,2,1
132210,1,2,1,1,2,1
15180,1,2,1,1,1,1
115130,1,2,1,1,1,1
150700,1,2,1,1,1,1
2600,1,2,1,1,2,1
76170,1,2,1,1,2,1
127210,1,2,1,1,2,1
134590,1,2,1,1,2,1
137760,1,2,1,1,2,1
140080,1,2,1,1,2,1
145810,1,2,1,1,2,1
147700,1,2,1,1,2,1
183080,1,2,1,1,2,1
200620,1,2,1,1,2,1
212920,1,2,1,1,2,1
221840,1,2,1,1,3,1
222460,1,2,1,1,3,1
159440,1,2,1,1,3,1
83120,1,2,1,1,3,1
104030,1,2,1,1,2,1
150330,1,2,1,1,2,1
90940,1,2,0,1,2,1
126600,1,2,1,0,2,1
90980,1,2,1,0,2,1
260020,1,2,1,0,2,1
90920,1,2,1,0,2,1
12800,1,2,1,1,2,1
65830,1,2,0,0,2,1
140150,1,2,0,1,2,1
187660,1,2,1,1,2,1
251560,1,2,1,1,2,1
52630,1,2,0,1,2,1
150370,1,2,1,1,2,1
9190,1,2,1,1,2,1
93560,1,2,1,1,2,1
143500,1,2,1,1,2,1
10780,1,2,1,1,2,1
73170,1,2,1,1,2,1
126430,1,2,1,1,1,1
126880,1,2,1,1,1,1
147630,1,2,1,1,1,1
194330,1,2,1,1,2,1
234510,1,2,1,1,2,1
110210,1,2,1,1,2,1
159890,1,2,1,1,2,1
13500,1,2,1,1,2,1
14640,1,2,1,1,2,1
96620,1,2,1,1,2,1
129980,1,2,1,1,2,1
188600,1,2,1,1,2,1
48640,1,2,1,1,2,1
4710,1,2,1,1,2,1
100180,1,2,1,1,3,1
9090,1,2,1,1,3,1
35460,1,2,1,1,3,1
90710,1,2,1,1,3,1
149840,1,2,1,1,2,1
187960,1,2,1,1,2,1
76190,1,2,1,1,2,1
9720,1,2,1,1,2,1
91830,1,2,1,1,2,1
11480,1,2,1,1,2,1
48100,1,2,1,1,2,1
150890,1,2,1,1,2,1
159990,1,2,1,1,2,1
166760,1,2,1,1,2,1
177470,1,2,1,1,2,1
191560,1,2,1,1,2,1
214480,1,2,1,1,2,1
214700,1,2,1,1,2,1
215510,1,2,1,1,2,0
248110,1,2,1,1,2,0
252390,1,2,1,1,2,1
211990,1,2,1,1,2,0
19540,1,2,1,1,2,1
51940,1,2,1,1,1,0
125500,1,2,1,1,1,1
14540,1,2,1,1,1,1
80880,1,2,1,1,2,1
